model,storage,carrier,condition,price
Apple iPhone 6s Plus,16gb,T-Mobile,faulty,17.62
Apple iPhone 6s Plus,16gb,sprint,good,54.19
Apple iPhone 6s Plus,16gb,sprint,poor,48.77
Apple iPhone 6s Plus,16gb,sprint,faulty,16.26
Apple iPhone 6s Plus,16gb,other,good,33.44
Apple iPhone 6s Plus,16gb,other,poor,30.1
Apple iPhone 6s Plus,16gb,other,faulty,10.03
Apple iPhone 6s Plus,32gb,unlocked,good,79.0
Apple iPhone 6s Plus,32gb,unlocked,poor,71.1
Apple iPhone 6s Plus,32gb,unlocked,faulty,23.7
Apple iPhone 6s Plus,32gb,verizon,good,79.0
Apple iPhone 6s Plus,32gb,verizon,poor,71.1
Apple iPhone 6s Plus,32gb,verizon,faulty,23.7
Apple iPhone 6s Plus,32gb,AT&T,good,66.91
Apple iPhone 6s Plus,32gb,AT&T,poor,60.22
Apple iPhone 6s Plus,32gb,AT&T,faulty,20.07
Apple iPhone 6s Plus,32gb,T-Mobile,good,61.07
Apple iPhone 6s Plus,32gb,T-Mobile,poor,54.96
Apple iPhone 6s Plus,32gb,T-Mobile,faulty,18.32
Apple iPhone 6s Plus,32gb,sprint,good,56.33
Apple iPhone 6s Plus,32gb,sprint,poor,50.69
Apple iPhone 6s Plus,32gb,sprint,faulty,16.9
Apple iPhone 6s Plus,32gb,other,good,34.76
Apple iPhone 6s Plus,32gb,other,poor,31.28
Apple iPhone 6s Plus,32gb,other,faulty,10.43
Apple iPhone 6s Plus,64gb,unlocked,good,83.0
Apple iPhone 6s Plus,64gb,unlocked,poor,74.7
Apple iPhone 6s Plus,64gb,unlocked,faulty,24.9
Apple iPhone 6s Plus,64gb,verizon,good,83.0
Apple iPhone 6s Plus,64gb,verizon,poor,74.7
Apple iPhone 6s Plus,64gb,verizon,faulty,24.9
Apple iPhone 6s Plus,64gb,AT&T,good,70.3
Apple iPhone 6s Plus,64gb,AT&T,poor,63.27
Apple iPhone 6s Plus,64gb,AT&T,faulty,21.09
Apple iPhone 6s Plus,64gb,T-Mobile,good,64.16
Apple iPhone 6s Plus,64gb,T-Mobile,poor,57.74
Apple iPhone 6s Plus,64gb,T-Mobile,faulty,19.25
Apple iPhone 6s Plus,64gb,sprint,good,59.18
Apple iPhone 6s Plus,64gb,sprint,poor,53.26
Apple iPhone 6s Plus,64gb,sprint,faulty,17.75
Apple iPhone 6s Plus,64gb,other,good,36.52
Apple iPhone 6s Plus,64gb,other,poor,32.87
Apple iPhone 6s Plus,64gb,other,faulty,10.96
Apple iPhone 6s Plus,128gb,unlocked,good,94.0
Apple iPhone 6s Plus,128gb,unlocked,poor,84.6
Apple iPhone 6s Plus,128gb,unlocked,faulty,28.2
Apple iPhone 6s Plus,128gb,verizon,good,94.0
Apple iPhone 6s Plus,128gb,verizon,poor,84.6
Apple iPhone 6s Plus,128gb,verizon,faulty,28.2
Apple iPhone 6s Plus,128gb,AT&T,good,79.62
Apple iPhone 6s Plus,128gb,AT&T,poor,71.66
Apple iPhone 6s Plus,128gb,AT&T,faulty,23.89
Apple iPhone 6s Plus,128gb,T-Mobile,good,72.66
Apple iPhone 6s Plus,128gb,T-Mobile,poor,65.4
Apple iPhone 6s Plus,128gb,T-Mobile,faulty,21.8
Apple iPhone 6s Plus,128gb,sprint,good,67.02
Apple iPhone 6s Plus,128gb,sprint,poor,60.32
Apple iPhone 6s Plus,128gb,sprint,faulty,20.11
Apple iPhone 6s Plus,128gb,other,good,41.36
Apple iPhone 6s Plus,128gb,other,poor,37.22
Apple iPhone 6s Plus,128gb,other,faulty,12.41
Apple iPhone 7,32gb,unlocked,good,76.0
Apple iPhone 7,32gb,unlocked,poor,68.4
Apple iPhone 7,32gb,unlocked,faulty,22.8
Apple iPhone 7,32gb,verizon,good,76.0
Apple iPhone 7,32gb,verizon,poor,68.4
