model,storage,carrier,condition,price
Apple iPhone 7 Plus,32,T-Mobile,Broken,111.2
Apple iPhone 7 Plus,32,Sprint,Like New,202.41
Apple iPhone 7 Plus,32,Sprint,Good,188.98
Apple iPhone 7 Plus,32,Sprint,Fair,188.93
Apple iPhone 7 Plus,32,Sprint,Broken,115.73
Apple iPhone 7 Plus,128,Unlocked,Like New,228.61
Apple iPhone 7 Plus,128,Unlocked,Good,223.49
Apple iPhone 7 Plus,128,Unlocked,Fair,220.41
Apple iPhone 7 Plus,128,Unlocked,Broken,151.07
Apple iPhone 7 Plus,128,Verizon,Like New,228.61
Apple iPhone 7 Plus,128,Verizon,Good,223.39
Apple iPhone 7 Plus,128,Verizon,Fair,220.41
Apple iPhone 7 Plus,128,Verizon,Broken,152.32
Apple iPhone 7 Plus,128,AT&T,Like New,228.75
Apple iPhone 7 Plus,128,AT&T,Good,213.43
Apple iPhone 7 Plus,128,AT&T,Fair,212.8
Apple iPhone 7 Plus,128,AT&T,Broken,142.56
Apple iPhone 7 Plus,128,T-Mobile,Like New,230.57
Apple iPhone 7 Plus,128,T-Mobile,Good,220.48
Apple iPhone 7 Plus,128,T-Mobile,Fair,218.14
Apple iPhone 7 Plus,128,T-Mobile,Broken,146.13
Apple iPhone 7 Plus,128,Sprint,Like New,227.66
Apple iPhone 7 Plus,128,Sprint,Good,215.36
Apple iPhone 7 Plus,128,Sprint,Fair,213.59
Apple iPhone 7 Plus,128,Sprint,Broken,137.61
Apple iPhone 7 Plus,256,Unlocked,Like New,250.0
Apple iPhone 7 Plus,256,Unlocked,Good,235.81
Apple iPhone 7 Plus,256,Unlocked,Fair,233.74
Apple iPhone 7 Plus,256,Unlocked,Broken,168.05
Apple iPhone 7 Plus,256,Verizon,Like New,250.0
Apple iPhone 7 Plus,256,Verizon,Good,235.81
Apple iPhone 7 Plus,256,Verizon,Fair,233.74
Apple iPhone 7 Plus,256,Verizon,Broken,168.05
Apple iPhone 7 Plus,256,AT&T,Like New,247.93
Apple iPhone 7 Plus,256,AT&T,Good,231.28
Apple iPhone 7 Plus,256,AT&T,Fair,230.33
Apple iPhone 7 Plus,256,AT&T,Broken,156.69
Apple iPhone 7 Plus,256,T-Mobile,Like New,244.64
Apple iPhone 7 Plus,256,T-Mobile,Good,232.3
Apple iPhone 7 Plus,256,T-Mobile,Fair,230.76
Apple iPhone 7 Plus,256,T-Mobile,Broken,160.69
Apple iPhone 7 Plus,256,Sprint,Like New,246.0
Apple iPhone 7 Plus,256,Sprint,Good,227.6
Apple iPhone 7 Plus,256,Sprint,Fair,224.79
Apple iPhone 7 Plus,256,Sprint,Broken,136.99
Apple iPhone 8,64,Unlocked,Like New,206.84
Apple iPhone 8,64,Unlocked,Good,174.18
Apple iPhone 8,64,Unlocked,Fair,170.8
Apple iPhone 8,64,Unlocked,Broken,128.25
Apple iPhone 8,64,Verizon,Like New,206.36
Apple iPhone 8,64,Verizon,Good,174.01
Apple iPhone 8,64,Verizon,Fair,170.99
Apple iPhone 8,64,Verizon,Broken,128.25
Apple iPhone 8,64,AT&T,Like New,205.44
Apple iPhone 8,64,AT&T,Good,172.01
Apple iPhone 8,64,AT&T,Fair,169.62
Apple iPhone 8,64,AT&T,Broken,124.27
Apple iPhone 8,64,T-Mobile,Like New,208.01
Apple iPhone 8,64,T-Mobile,Good,174.22
Apple iPhone 8,64,T-Mobile,Fair,170.74
Apple iPhone 8,64,T-Mobile,Broken,125.36
Apple iPhone 8,64,Sprint,Like New,202.49
Apple iPhone 8,64,Sprint,Good,176.96
Apple iPhone 8,64,Sprint,Fair,172.61
Apple iPhone 8,64,Sprint,Broken,125.42
Apple iPhone 8,128,Unlocked,Like New,**NOT ENOUGH RESULTS**
Apple iPhone 8,128,Unlocked,Good,239.69
Apple iPhone 8,128,Unlocked,Fair,231.46
Apple iPhone 8,128,Unlocked,Broken,**NOT ENOUGH RESULTS**
Apple iPhone 8,128,Verizon,Like New,**NOT ENOUGH RESULTS**
Apple iPhone 8,128,Verizon,Good,239.69
Apple iPhone 8,128,Verizon,Fair,231.46
Apple iPhone 8,128,Verizon,Broken,**NOT ENOUGH RESULTS**
